utasazon;nev;szuldatum;telefon
154;"Fekete Klaudia";1958.9.6;"(30) 2055483"
155;"Latorczai Zoltán";1960.7.17;"(70) 3697474"
156;"Turai Pál";1927.11.2;"(30) 2431239"
157;"Horkai Barbara";1971.2.1;"(30) 4568877"
158;"Abonyi Gabriella";1927.2.11;"(20) 1606366"
159;"Zsolnai Sándor";1970.7.18;"(70) 2179004"
160;"Vörös János";1940.11.6;"(20) 4403707"
161;"Major József";1938.9.30;"(70) 4757707"
162;"Kaló Barbara";1965.3.3;"(30) 4420289"
163;"Varga Tibor";1966.4.13;"(70) 2729710"
164;"Hegyi Szonja";1953.12.22;"(70) 1901645"
165;"Zsikla József";1974.6.24;"(30) 3918629"
166;"Tóth József";1960.2.11;"(30) 2247607"
167;"Balajti Enikõ";1933.11.18;"(30) 4852579"
168;"Halmos Klaudia";1967.11.22;"(70) 1539849"
169;"Verpeléti Zsolt";1928.3.29;"(20) 4300145"
170;"Kaló Miklós";1958.5.18;"(30) 2441057"
171;"Bethlen Etelka";1944.7.22;"(30) 3012170"
172;"Kiss Ilona";1956.11.1;"(20) 3279399"
173;"Latorczai Attila";1963.5.29;"(30) 1086125"
174;"Nagy Péter";1973.11.11;"(30) 3988019"
175;"Kiss Géza";1920.1.7;"(20) 2837970"
176;"Halmos Andrea";1977.3.12;"(70) 4440051"
177;"Vörös Gabriella";1926.12.10;"(30) 1883512"
178;"Zsolnai Roland";1958.6.7;"(20) 1107692"
179;"Baranyai Zoltán";1925.10.19;"(70) 4286666"
180;"Zsolnai Ilona";1923.6.7;"(30) 3332135"
181;"Szekeres Ferenc";1925.10.9;"(70) 1602926"
182;"Varga András";1935.6.5;"(70) 3174592"
183;"Józsa László";1949.12.8;"(30) 3480643"
184;"Zoltai Nikolett";1928.7.10;"(20) 4484098"
185;"Vörös Gabriella";1921.11.2;"(30) 1642235"
186;"Békési Bálint";1978.4.11;"(30) 3497653"
187;"Tolnai Enikõ";1976.4.22;"(20) 4322672"
188;"Békési Attila";1930.7.23;"(30) 3546558"
189;"Verpeléti Sándor";1939.3.2;"(70) 4370518"
190;"Koltai Edina";1948.6.14;"(20) 2498832"
191;"Békési Zsófia";1968.7.25;"(30) 2598860"
192;"Lengyel Barbara";1924.3.23;"(20) 3156513"
193;"Antal Dániel";1965.1.7;"(20) 3168077"
194;"Zsengellér Ferenc";1937.10.20;"(30) 3295209"
195;"Zoltai Géza";1942.8.3;"(20) 2251901"
196;"Zsikla Katalin";1974.5.13;"(30) 1438529"
197;"Császár Klaudia";1935.2.1;"(20) 1623401"
198;"Darázs Lehel";1925.5.6;"(70) 3821406"
199;"Gelencsér Pál";1959.1.3;"(30) 1943093"
200;"Gelencsér András";1937.2.16;"(20) 1279933"
201;"Zsolnai Zoltán";1966.11.6;"(30) 1022578"
202;"Varga Sándor";1950.2.16;"(70) 1038524"
203;"Tóth Pál";1926.7.26;"(20) 1843104"
204;"Halmos Anikó";1971.7.25;"(30) 4958273"
205;"Balajti Zoltán";1961.2.19;"(20) 3904562"
206;"Csikós Dániel";1977.9.12;"(20) 3293326"
207;"Lengyel Andrea";1937.10.29;"(30) 3282174"
208;"Zsikla Mátyás";1924.12.11;"(30) 4634934"
209;"Halmos Péter";1935.4.20;"(30) 1543021"
210;"Solymos Miklós";1959.6.20;"(20) 4924452"
211;"Kovács Miklós";1963.12.6;"(30) 1195027"
212;"Kiss Klaudia";1954.4.13;"(70) 4738902"
213;"Szabó András";1948.5.25;"(30) 2383136"
214;"Vállas Roland";1956.4.11;"(70) 2116078"
215;"Megyeri Andrea";1923.5.23;"(20) 2056807"
216;"Kuhárszky Bernadett";1930.10.10;"(20) 1345575"
217;"Braun Alajos";1967.5.27;"(20) 1010444"
218;"Csikós Bernadett";1976.10.19;"(20) 1036101"
219;"Lengyel Tibor";1962.7.10;"(20) 2690973"
220;"Kaló Brigitta";1956.4.15;"(70) 3612841"
221;"Nagy Tibor";1955.12.5;"(70) 3960309"
222;"Kertész Zsófia";1951.7.22;"(30) 4272318"
223;"Szûcs János";1922.4.5;"(30) 2551295"
224;"Eszes Attila";1967.2.28;"(20) 1552938"
225;"Csikós Sándor";1979.8.25;"(30) 4630491"
226;"Illés Lehel";1959.12.4;"(30) 3915786"
227;"Braun Zsófia";1969.10.23;"(20) 3571048"
228;"Tóth Ilona";1930.7.10;"(30) 4101501"
229;"Lengyel Enikõ";1930.6.14;"(20) 3108764"
230;"Abonyi Péter";1952.5.14;"(30) 2514319"
231;"Békési Barbara";1945.2.7;"(30) 3105647"
232;"Halmos Mariann";1958.8.5;"(30) 2451239"
233;"Megyeri Attila";1933.4.7;"(70) 1594212"
234;"Gelencsér Géza";1938.12.23;"(30) 4289079"
235;"Tóth Géza";1959.5.2;"(20) 3130851"
236;"Fekete Géza";1931.10.17;"(30) 2459381"
237;"Verpeléti Lehel";1951.8.25;"(30) 3399467"
238;"Lengyel Nikolett";1940.1.18;"(30) 3685394"
239;"Csikós Zsuzsanna";1948.2.24;"(30) 1789349"
240;"Kelemen Katalin";1943.12.28;"(20) 4753802"
241;"Balajti Barbara";1951.6.13;"(70) 3540093"
242;"Józsa Kitti";1941.12.9;"(20) 3729185"
243;"Horkai Bálint";1938.9.30;"(20) 2949421"
244;"Verpeléti András";1921.9.6;"(30) 2867363"
245;"Vállas Edina";1979.11.4;"(30) 2565634"
246;"Balajti Bernadett";1941.10.9;"(30) 3312428"
247;"Kisteleki Andrea";1937.3.13;"(30) 1638268"
248;"Szekeres Szonja";1960.11.25;"(20) 1152048"
249;"Darázs Miklós";1931.9.14;"(30) 3899576"
250;"Illés Dénes";1961.2.10;"(30) 4130227"
251;"Megyeri Ferenc";1969.9.21;"(30) 2848804"
252;"Tolnai Brigitta";1977.4.28;"(70) 4953664"
253;"Császár Zsolt";1929.6.21;"(30) 2557835"
254;"Eszes Ferenc";1926.7.29;"(20) 3425146"
255;"Abonyi Lehel";1965.6.11;"(20) 4353875"
256;"Kiss Bernadett";1949.1.8;"(30) 3091211"
257;"Józsa Barbara";1920.2.5;"(20) 2063772"
258;"Tolnai Ferenc";1930.3.5;"(30) 2728214"
259;"Horkai Mátyás";1963.2.13;"(20) 2138360"
260;"Braun Enikõ";1946.10.14;"(20) 3743211"
261;"Nagy Miklós";1924.5.11;"(30) 1340024"
262;"Zsengellér Zsuzsanna";1976.1.2;"(70) 4651461"
263;"Darázs Kitti";1951.12.14;"(20) 2697971"
264;"Császár Etelka";1931.3.28;"(20) 3559452"
265;"Szekeres Katalin";1959.3.21;"(30) 2129337"
266;"Megyeri Ferenc";1961.12.22;"(70) 1251311"
267;"Megyeri Andrea";1945.7.10;"(20) 2321056"
268;"Kalányos Ilona";1935.7.2;"(70) 2815633"
269;"Józsa Judit";1943.8.21;"(20) 4324152"
270;"Zsengellér Barbara";1936.9.10;"(20) 1845404"
271;"Koller Dániel";1953.8.1;"(70) 4638486"
272;"Békési Attila";1929.12.15;"(30) 1962964"
273;"Magyar Zsófia";1978.1.7;"(30) 3466914"
274;"Latorczai Szonja";1959.8.28;"(30) 3814908"
275;"Kovács Géza";1973.9.1;"(20) 4256645"
276;"Major Alajos";1958.9.6;"(30) 2438450"
277;"Szabó Bernadett";1959.11.24;"(30) 2968408"
278;"Darázs Mátyás";1978.1.15;"(20) 3040690"
279;"Zoltai Szonja";1969.6.27;"(30) 2219702"
280;"Szûcs Roland";1932.12.8;"(30) 3744270"
281;"Halmos Andrea";1960.2.3;"(70) 4141976"
282;"Zsikla Miklós";1967.9.8;"(30) 3188820"
283;"Braun Dénes";1979.9.12;"(30) 4738429"
284;"Gelencsér János";1934.2.18;"(30) 1628236"
285;"Császár Bálint";1923.3.22;"(20) 2575005"
286;"Halmos Tibor";1921.4.17;"(20) 1226611"
287;"Fekete Zsuzsanna";1959.6.26;"(30) 2129922"
288;"Darázs Judit";1928.12.13;"(70) 1669685"
289;"Kertész Szonja";1957.5.24;"(30) 3556755"
290;"Fekete Lehel";1950.1.5;"(30) 1783145"
291;"Major Etelka";1958.10.17;"(30) 1965989"
292;"Zsengellér Tibor";1945.9.18;"(70) 1840586"
293;"Kalas Dénes";1941.12.16;"(30) 3349006"
294;"Baranyai Dénes";1928.3.12;"(30) 1070415"
295;"Zsengellér Lajos";1974.6.15;"(20) 1435055"
296;"Gelencsér Edina";1935.12.11;"(30) 1224912"
297;"Békési Attila";1947.4.11;"(30) 3393195"
298;"Kovács Ilona";1963.8.13;"(30) 3426733"
299;"Magyar Péter";1924.9.21;"(20) 3650347"
300;"Zsolnai Ferenc";1920.8.15;"(20) 2608399"
301;"Illés Helga";1979.8.19;"(30) 3916595"
302;"Antal Zsolt";1933.9.25;"(20) 3157304"
303;"Zsolnai Georgina";1926.4.2;"(20) 4876723"
304;"Szabó Miklós";1925.12.24;"(30) 1044116"
305;"Horkai Lehel";1958.7.22;"(30) 4000232"
306;"Kovács Katalin";1976.9.27;"(20) 1832616"
307;"Varga Attila";1923.4.28;"(30) 3880435"
308;"Kaló Barbara";1924.10.23;"(20) 4532031"
309;"Fekete Dániel";1935.7.3;"(20) 4257020"
310;"Tolnai Bernadett";1950.10.13;"(30) 2883966"
311;"Vállas Szonja";1959.6.8;"(70) 4586577"
312;"Zsengellér Ferenc";1930.1.2;"(30) 4338014"
313;"Horkai Zoltán";1948.4.30;"(20) 1322018"
314;"Kelemen Georgina";1921.9.8;"(30) 2557645"
315;"Cseszneki Ilona";1949.7.9;"(30) 4523781"
316;"Tóth Andrea";1928.2.6;"(30) 2062022"
317;"Vállas Miklós";1952.5.18;"(30) 2867826"
318;"Nyúzó Péter";1951.12.4;"(30) 3018266"
319;"Vörös Mátyás";1941.4.3;"(20) 3286876"
320;"Lengyel Barbara";1960.9.11;"(20) 2831070"
321;"Kovács Klaudia";1938.7.20;"(30) 3225110"
322;"Balajti Mariann";1945.5.24;"(30) 4301826"
323;"Kovács Katalin";1922.3.14;"(30) 4618080"
324;"Zsengellér Klaudia";1977.4.17;"(70) 2323747"
325;"Józsa Attila";1960.10.11;"(70) 3029265"
326;"Zsikla Ilona";1925.4.20;"(30) 1880425"
327;"Szekeres Klaudia";1925.7.19;"(30) 1394049"
328;"Major Bálint";1967.6.8;"(20) 1178626"
329;"Szûcs Edina";1944.9.2;"(20) 4493589"
330;"Kertész Zsuzsanna";1960.8.12;"(70) 4873637"
331;"Vállas Ferenc";1921.2.27;"(20) 1113742"
332;"Nyúzó Lehel";1963.3.19;"(70) 4133279"
333;"Gelencsér Mátyás";1957.12.8;"(20) 2777590"
334;"Verpeléti Lajos";1968.9.25;"(30) 2713921"
335;"Filkor Sándor";1936.11.11;"(20) 3572707"
336;"Gelencsér Péter";1952.5.7;"(20) 4402495"
337;"Gelencsér András";1953.7.22;"(30) 3492175"
338;"Kaló Géza";1931.7.11;"(30) 2295219"
339;"Abonyi Katalin";1965.2.1;"(30) 2422867"
340;"Vállas Tibor";1964.12.8;"(20) 4666382"
341;"Szabó Alajos";1961.3.21;"(30) 2749140"
342;"Filkor Roland";1938.1.22;"(30) 4878417"
343;"Illés Gabriella";1952.4.12;"(70) 4676960"
344;"Cseszneki Edina";1975.2.26;"(20) 2763123"
345;"Tóth Szonja";1928.5.10;"(20) 2337566"
346;"Zoltai Judit";1965.1.18;"(20) 1274555"
347;"Megyeri Géza";1943.4.27;"(70) 3296163"
348;"Illés Dániel";1941.10.29;"(30) 2211070"
349;"Békési Mátyás";1945.6.21;"(70) 3615339"
350;"Hertelendi László";1974.4.27;"(20) 1994325"
351;"Horkai Katalin";1947.1.13;"(20) 3232297"
352;"Kalányos Dávid";1960.11.2;"(30) 2355150"
353;"Zsolnai Roland";1961.5.8;"(30) 4051468"
354;"Cseszneki Zita";1974.9.11;"(70) 3533424"
355;"Baranyai Zita";1923.6.29;"(30) 3039369"
356;"Cseszneki Sándor";1951.3.2;"(30) 3822115"
357;"Szekeres Katalin";1929.4.24;"(30) 4385965"
358;"Kalas Etelka";1968.1.14;"(20) 4660047"
359;"Kalas András";1942.12.12;"(70) 2243064"
360;"Csikós Zita";1964.8.13;"(30) 3172056"
361;"Csikós Bálint";1977.4.28;"(30) 4210617"
362;"Varga Roland";1958.10.29;"(30) 3432500"
363;"Illés Miklós";1928.11.13;"(20) 4347561"
364;"Eszes Bernadett";1923.6.7;"(70) 4952354"
365;"Gelencsér Zsuzsanna";1934.11.19;"(70) 3360376"
366;"Vörös Zsófia";1961.4.10;"(30) 3751524"
367;"Kovács Kitti";1962.11.7;"(30) 1197371"
368;"Illés Dávid";1968.3.7;"(70) 1822174"
369;"Kiss Roland";1970.10.27;"(70) 3110996"
370;"Kisteleki Kitti";1974.2.2;"(20) 4010256"
371;"Halmos Georgina";1931.1.11;"(30) 2604393"
372;"Fekete Judit";1961.5.9;"(20) 4732294"
373;"Filkor Kitti";1956.10.1;"(30) 3665155"
374;"Békési Etelka";1953.10.24;"(30) 1351380"
375;"Csikós Bálint";1945.6.24;"(20) 3797302"
376;"Kertész Helga";1943.7.24;"(70) 4558754"
377;"Kalas László";1931.10.3;"(30) 4399653"
378;"Latorczai Zsófia";1941.11.29;"(30) 3837839"
379;"Kelemen Ferenc";1972.8.21;"(30) 4059340"
380;"Csikós Gabriella";1949.6.28;"(20) 4473891"
381;"Zsikla Bálint";1964.5.17;"(30) 2168956"
382;"Megyeri Brigitta";1979.2.26;"(30) 3785352"
383;"Varga András";1976.7.4;"(30) 2299490"
384;"Szûcs Anikó";1954.3.14;"(70) 4859902"
385;"Kiss Nikolett";1961.11.28;"(30) 1363862"
386;"Szabó Dániel";1966.3.30;"(30) 4839174"
387;"Kelemen Bernadett";1957.12.18;"(30) 4391851"
388;"Kalányos Gabriella";1962.8.27;"(30) 1645550"
389;"Tolnai András";1935.3.15;"(20) 2278550"
390;"Illés József";1964.4.10;"(70) 3231315"
391;"Verpeléti Alajos";1972.12.5;"(30) 3370943"
392;"Koltai Dénes";1934.7.23;"(20) 3419577"
393;"Illés Brigitta";1977.1.1;"(20) 4767380"
394;"Molnár Zsófia";1956.6.15;"(30) 2206410"
395;"Szabó Brigitta";1931.6.14;"(30) 1621207"
396;"Szekeres Attila";1973.11.8;"(20) 4245785"
397;"Csikós Alajos";1975.8.6;"(30) 1848497"
398;"Nagy Zsolt";1945.11.21;"(30) 1526378"
399;"Gelencsér Zoltán";1964.9.3;"(30) 4287109"
400;"Fekete Bernadett";1952.3.21;"(20) 3830391"
401;"Szekeres Klaudia";1945.4.25;"(30) 1890772"
402;"Gelencsér Géza";1921.4.9;"(30) 2691493"
403;"Molnár Szonja";1943.4.1;"(30) 4114075"
404;"Józsa András";1937.7.13;"(70) 1008880"
405;"Szabó Enikõ";1936.10.10;"(70) 3428333"
406;"Tóth Zsófia";1937.3.21;"(30) 2458429"
407;"Hegyi Dénes";1964.7.25;"(30) 4403997"
408;"Kalas Helga";1930.1.20;"(70) 2685408"
409;"Latorczai Ilona";1972.5.17;"(20) 3618663"
410;"Turai Georgina";1954.6.3;"(30) 1772429"
411;"Kisteleki János";1944.7.30;"(70) 1468049"
412;"Zsikla Sándor";1957.11.16;"(30) 4549231"
413;"Kiss László";1944.12.1;"(30) 4354622"
414;"Kelemen Tibor";1967.8.11;"(20) 3409525"
415;"Varga Dávid";1931.5.6;"(30) 1487211"
416;"Hertelendi Andrea";1976.6.17;"(70) 1354266"
417;"Hertelendi Tibor";1940.9.20;"(20) 4986517"
418;"Józsa Roland";1950.4.21;"(30) 4308010"
419;"Fekete Zoltán";1921.4.17;"(30) 3771208"
420;"Balajti Nikolett";1953.1.14;"(70) 3027459"
421;"Turai László";1951.11.5;"(30) 4220197"
422;"Turai Szonja";1955.8.7;"(20) 1764539"
423;"Csutor Ilona";1966.8.3;"(30) 3294021"
424;"Fekete Zita";1970.11.13;"(20) 1886280"
425;"Halmos László";1979.5.15;"(20) 1871069"
426;"Abonyi Kitti";1922.5.1;"(70) 4714308"
427;"Magyar Ferenc";1940.3.14;"(30) 3744830"
428;"Hegyi Zsolt";1945.1.8;"(20) 3682157"
429;"Tolnai József";1974.2.28;"(20) 3761992"
430;"Turai Enikõ";1931.10.14;"(20) 1825751"
431;"Császár Zita";1941.8.5;"(20) 3343189"
432;"Molnár Dénes";1952.8.28;"(70) 4397210"
433;"Zsengellér Lajos";1941.7.23;"(20) 4809661"
434;"Hertelendi Judit";1930.5.8;"(30) 3496472"
435;"Halmos Zsolt";1946.2.16;"(30) 1488269"
436;"Zoltai Barbara";1933.10.22;"(70) 1161263"
437;"Szekeres Klaudia";1946.4.26;"(20) 3678922"
438;"Kalas Zsuzsanna";1951.2.25;"(30) 4361037"
439;"Nagy Dávid";1948.4.7;"(30) 4537527"
440;"Szûcs Dániel";1934.5.16;"(20) 4014970"
441;"Zsengellér Roland";1928.7.16;"(30) 2918095"
442;"Józsa Klaudia";1953.9.7;"(20) 4314115"
443;"Tóth László";1954.7.29;"(30) 4501179"
444;"Turai Dénes";1939.4.19;"(30) 3281833"
445;"Solymos Roland";1933.5.22;"(30) 1113212"
446;"Major Zsuzsanna";1936.2.11;"(70) 4452513"
447;"Koller Edina";1938.4.22;"(30) 2725653"
448;"Hertelendi Sára";1954.9.11;"(20) 1209098"
449;"Császár Tibor";1964.4.23;"(70) 1801001"
450;"Kalányos Helga";1977.1.8;"(30) 3462043"
451;"Varga Etelka";1927.6.18;"(30) 1683975"
452;"Kiss Bernadett";1958.4.12;"(20) 2863369"
453;"Megyeri Bernadett";1963.1.24;"(20) 1325814"
454;"Kiss Dániel";1969.6.6;"(30) 4035579"
455;"Zsengellér Helga";1944.11.24;"(30) 4985912"
456;"Zsengellér Pál";1965.12.13;"(30) 3648299"
457;"Csikós Bálint";1954.9.9;"(70) 3035104"
458;"Kalas Zsolt";1978.3.17;"(70) 1927560"
459;"Illés Mariann";1977.9.10;"(20) 1549129"
460;"Kiss Lehel";1921.3.27;"(30) 3272133"
461;"Megyeri Sára";1964.5.5;"(70) 1975078"
462;"Zoltai Katalin";1949.10.26;"(30) 1283101"
463;"Kertész József";1975.9.5;"(30) 1875878"
464;"Kiss József";1927.5.26;"(30) 4166982"
465;"Baranyai Roland";1923.7.24;"(30) 1804360"
466;"Zsolnai Enikõ";1926.4.28;"(70) 4265015"
467;"Tóth Bálint";1961.8.13;"(20) 3544165"
468;"Koltai Georgina";1932.8.22;"(30) 4492177"
469;"Szekeres Anikó";1927.7.30;"(70) 2133993"
470;"Zoltai Judit";1938.8.19;"(30) 1865701"
471;"Eszes Klaudia";1922.4.11;"(30) 2528427"
472;"Abonyi Dénes";1943.6.6;"(30) 1172303"
473;"Solymos Miklós";1957.3.26;"(20) 2132424"
474;"Major Zoltán";1967.8.1;"(70) 1787257"
475;"Eszes Mátyás";1946.5.30;"(30) 1529301"
476;"Csikós Enikõ";1951.6.2;"(20) 3355903"
