Afrika túra					

Legalacsonyabb ár		Aktuális ár		Legmagasabb ár	
2005.12.18	730		Arany Antal	1	
2005.12.18	730		Arany Antal	4	
2005.12.20	730		Kiss Péter	3	
2005.12.20	730		Kosztka Ádám	1	
2005.12.22	730		Kis Péter	4	
2005.12.23	730		Kosztka Ádám	2	
2005.12.24	730		Kiss Péter	4	
2005.12.26	729		Kiss Péter	3	
2005.12.28	729		Kis Péter	4	
2005.12.29	729		Kosztka Ádám	1	
2005.12.31	729		Arany Antónia	2	
2005.12.31	729		Kosztka Ádám	2	
2005.12.31	729		Kiss Péter	4	
2006.01.02	729		Kosztka Ádám	2	
2006.01.04	729		Arany Antal	2	
2006.01.06	729		Kis Péter	4	
2006.01.06	729		Kiss Péter	3	
2006.01.07	729		Arany Antónia	4	
2006.01.08	725		Arany Antal	1	
2006.01.10	725		Arany Antal	2	
2006.01.11	725		Arany Antal	2	
2006.01.12	725		Arany Antal	2	
2006.01.12	725		Kiss Péter	1	
2006.01.12	725		Arany Antal	3	
2006.01.12	725		Arany Antónia	4	
2006.01.14	725		Kis Péter	1	
2006.01.14	725		Arany Antónia	4	
2006.01.15	725		Arany Antónia	4	
2006.01.17	725		Arany Antal	4	
2006.01.19	725		Kiss Péter	3	
2006.01.19	725		Kiss Péter	1	
2006.01.19	725		Arany Antónia	2	
2006.01.21	725		Arany Antal	2	
2006.01.22	725		Arany Antónia	2	
2006.01.22	725		Arany Antónia	2	
2006.01.22	725		Kiss Péter	4	
2006.01.24	725		Arany Antal	1	
2006.01.24	725		Kiss Péter	3	
2006.01.26	725		Arany Antal	4	
2006.01.26	725		Kiss Péter	1	
2006.01.26	725		Kosztka Ádám	4	
2006.01.27	725		Arany Antónia	2	
2006.01.29	734		Kis Péter	2	
2006.01.30	729		Kosztka Ádám	1	
2006.01.31	729		Arany Antal	4	
2006.01.31	729		Kis Péter	3	
2006.02.01	729		Arany Antónia	4	
2006.02.03	729		Kiss Péter	4	
2006.02.04	729		Arany Antal	4	
2006.02.06	729		Kosztka Ádám	2	
2006.02.08	729		Kosztka Ádám	1	
2006.02.09	729		Kiss Péter	3	
2006.02.09	727		Kis Péter	2	
2006.02.10	727		Arany Antónia	2	
2006.02.10	727		Arany Antal	3	
2006.02.12	732		Kosztka Ádám	2	
2006.02.12	732		Kosztka Ádám	1	
2006.02.14	732		Arany Antal	1	
2006.02.14	732		Kosztka Ádám	3	
2006.02.15	740		Arany Antónia	1	
2006.02.17	740		Arany Antónia	2	
2006.02.17	740		Arany Antónia	4	
2006.02.19	740		Kis Péter	2	
2006.02.21	740		Arany Antal	4	
2006.02.23	740		Arany Antal	2	
2006.02.24	740		Arany Antal	4	
2006.02.26	740		Arany Antónia	3	
2006.02.27	740		Arany Antónia	4	
2006.02.27	740		Kis Péter	4	
2006.03.01	740		Kosztka Ádám	1	
2006.03.03	740		Kis Péter	3	
2006.03.05	740		Kosztka Ádám	4	
2006.03.06	740		Kis Péter	3	
2006.03.06	740		Arany Antónia	2	
2006.03.06	740		Kosztka Ádám	3	
2006.03.07	740		Arany Antónia	3	
2006.03.09	740		Arany Antónia	1	
2006.03.09	740		Kosztka Ádám	1	
2006.03.10	740		Arany Antónia	4	
2006.03.11	740		Kiss Péter	1	
2006.03.12	740		Kiss Péter	2	
2006.03.13	740		Kiss Péter	3	
2006.03.13	740		Kis Péter	2	
2006.03.13	740		Kiss Péter	3	
2006.03.14	740		Arany Antal	3	
2006.03.15	740		Arany Antónia	2	
2006.03.16	740		Kis Péter	2	
2006.03.18	740		Arany Antónia	2	
2006.03.20	740		Kiss Péter	4	
2006.03.22	740		Kis Péter	2	
2006.03.22	740		Arany Antal	1	
2006.03.23	740		Arany Antónia	3	
2006.03.23	745		Arany Antal	1	
2006.03.24	745		Kosztka Ádám	2	
2006.03.26	745		Kiss Péter	4	
2006.03.26	745		Kiss Péter	2	
2006.03.26	745		Kis Péter	3	
2006.03.27	745		Kosztka Ádám	3	
2006.03.29	745		Kiss Péter	4	
2006.03.29	745		Kiss Péter	4	
2006.03.30	745		Kiss Péter	1	
2006.03.30	745		Arany Antal	1	
2006.03.30	745		Kis Péter	1	
2006.03.31	745		Arany Antal	3	
2006.04.01	745		Arany Antónia	3	
2006.04.02	745		Arany Antónia	2	
2006.04.02	745		Arany Antal	1	
2006.04.04	745		Arany Antal	4	
2006.04.04	745		Arany Antal	4	
2006.04.04	745		Kis Péter	1	
2006.04.06	745		Kis Péter	3	
2006.04.07	745		Arany Antal	2	
2006.04.09	745		Arany Antal	1	
2006.04.09	745		Kis Péter	3	
2006.04.09	745		Arany Antónia	1	
2006.04.09	745		Arany Antónia	3	
2006.04.11	745		Arany Antal	4	
2006.04.11	745		Arany Antónia	2	
2006.04.13	745		Arany Antal	1	
2006.04.15	745		Kosztka Ádám	1	
2006.04.17	745		Kis Péter	3	
2006.04.17	745		Kosztka Ádám	2	
2006.04.18	745		Kis Péter	4	
2006.04.19	745		Kis Péter	4	
2006.04.19	745		Arany Antónia	2	
2006.04.19	745		Kiss Péter	1	
2006.04.19	745		Arany Antal	3	
2006.04.19	745		Arany Antónia	2	
2006.04.19	745		Kiss Péter	2	
2006.04.21	745		Arany Antónia	4	
2006.04.22	745		Kosztka Ádám	1	
2006.04.24	740		Kiss Péter	3	
2006.04.26	740		Arany Antal	2	
2006.04.28	740		Kiss Péter	4	
2006.04.29	740		Kis Péter	3	
2006.04.29	740		Kis Péter	2	
2006.04.29	740		Arany Antónia	1	
2006.04.30	740		Arany Antal	4	
2006.04.30	740		Arany Antal	2	
2006.04.30	740		Kiss Péter	1	
2006.05.02	746		Kis Péter	2	
2006.05.02	746		Arany Antónia	3	
2006.05.04	746		Arany Antónia	1	
2006.05.06	746		Kis Péter	4	
2006.05.06	746		Kosztka Ádám	3	
2006.05.08	746		Kosztka Ádám	1	
2006.05.09	746		Kis Péter	4	
2006.05.09	746		Arany Antal	2	
2006.05.10	746		Kosztka Ádám	1	
2006.05.11	746		Arany Antónia	2	
2006.05.11	746		Kosztka Ádám	1	
2006.05.12	746		Kiss Péter	3	
2006.05.13	746		Kiss Péter	1	
2006.05.14	746		Arany Antal	4	
2006.05.14	746		Arany Antal	1	
2006.05.14	746		Arany Antónia	1	
2006.05.15	746		Kosztka Ádám	1	
2006.05.15	746		Kis Péter	1	
2006.05.17	746		Arany Antal	3	
2006.05.17	746		Arany Antónia	1	
2006.05.19	746		Kis Péter	4	
2006.05.21	746		Arany Antal	2	
2006.05.23	746		Arany Antónia	4	
2006.05.25	746		Kosztka Ádám	2	
2006.05.25	746		Kosztka Ádám	3	
2006.05.27	746		Arany Antal	1	
2006.05.29	746		Arany Antal	2	
2006.05.30	746		Arany Antal	4	
2006.05.30	752		Kiss Péter	2	
2006.05.31	752		Kis Péter	1	
2006.06.02	752		Arany Antal	2	
2006.06.04	752		Kis Péter	1	
2006.06.05	752		Kiss Péter	3	
2006.06.07	752		Arany Antónia	3	
2006.06.09	752		Kiss Péter	4	
2006.06.10	744		Kis Péter	2	
2006.06.10	744		Arany Antal	4	
2006.06.12	738		Kosztka Ádám	2	
2006.06.12	738		Arany Antal	4	
2006.06.12	741		Kosztka Ádám	4	
2006.06.12	741		Kis Péter	1	
2006.06.13	741		Kiss Péter	2	
2006.06.14	733		Arany Antal	4	
2006.06.15	733		Kosztka Ádám	3	
2006.06.16	733		Kiss Péter	1	
2006.06.17	733		Kiss Péter	4	
2006.06.17	733		Kosztka Ádám	2	
2006.06.19	733		Kis Péter	3	
2006.06.19	733		Kis Péter	1	
2006.06.20	733		Arany Antónia	3	
2006.06.21	733		Arany Antal	4	
2006.06.23	733		Kosztka Ádám	1	
2006.06.23	733		Arany Antal	1	
2006.06.24	726		Kosztka Ádám	4	
2006.06.25	734		Arany Antal	4	
2006.06.27	734		Kis Péter	3	
2006.06.27	734		Arany Antal	3	
2006.06.27	734		Kosztka Ádám	3	
2006.06.29	734		Kiss Péter	3	
2006.07.01	743		Kiss Péter	4	
2006.07.02	743		Arany Antónia	2	
2006.07.04	743		Kosztka Ádám	2	
2006.07.04	743		Kosztka Ádám	4	
2006.07.05	743		Arany Antónia	4	
2006.07.07	743		Kis Péter	1	
2006.07.09	743		Kosztka Ádám	1	
2006.07.11	744		Kiss Péter	2	
2006.07.11	739		Kiss Péter	4	
2006.07.12	739		Arany Antal	4	
2006.07.14	739		Kis Péter	1	
2006.07.15	739		Arany Antal	2	
2006.07.15	739		Kis Péter	4	
2006.07.17	739		Kosztka Ádám	4	
2006.07.17	741		Kosztka Ádám	2	
2006.07.18	741		Arany Antal	1	
2006.07.19	737		Kiss Péter	1	
2006.07.21	737		Arany Antal	4	
2006.07.23	737		Arany Antal	4	
2006.07.25	736		Kosztka Ádám	1	
2006.07.25	736		Arany Antal	4	
2006.07.25	736		Kosztka Ádám	1	
2006.07.25	736		Kis Péter	4	
2006.07.27	736		Kiss Péter	4	
2006.07.29	736		Arany Antónia	4	
2006.07.30	736		Kiss Péter	2	
2006.07.30	736		Kosztka Ádám	3	
2006.07.31	736		Kosztka Ádám	3	
2006.08.02	736		Kis Péter	4	
2006.08.03	736		Kis Péter	1	
2006.08.04	736		Arany Antónia	1	
2006.08.04	727		Arany Antónia	2	
2006.08.04	727		Kiss Péter	4	
2006.08.06	727		Arany Antónia	4	
2006.08.06	727		Arany Antónia	1	
2006.08.07	727		Kosztka Ádám	3	
2006.08.07	726		Arany Antal	3	
2006.08.08	732		Arany Antónia	1	
2006.08.10	732		Kosztka Ádám	2	
2006.08.10	732		Kis Péter	2	
2006.08.11	732		Kiss Péter	3	
2006.08.11	732		Arany Antónia	2	
2006.08.11	732		Arany Antal	2	
2006.08.11	732		Kiss Péter	4	
2006.08.13	732		Kosztka Ádám	3	
2006.08.13	732		Arany Antal	4	
2006.08.13	732		Kosztka Ádám	4	
2006.08.15	732		Arany Antónia	4	
2006.08.17	732		Kosztka Ádám	2	
2006.08.19	732		Arany Antal	3	
2006.08.21	732		Kis Péter	2	
2006.08.23	732		Kiss Péter	4	
2006.08.25	730		Kiss Péter	1	
2006.08.26	730		Arany Antónia	2	
2006.08.26	730		Arany Antónia	3	
2006.08.26	730		Kiss Péter	4	
2006.08.26	730		Kiss Péter	3	
2006.08.26	730		Kis Péter	4	
2006.08.28	730		Kis Péter	1	
2006.08.29	730		Kiss Péter	2	
2006.08.29	730		Kiss Péter	3	
2006.08.29	730		Kiss Péter	4	
2006.08.29	730		Arany Antal	2	
2006.08.29	730		Arany Antónia	2	
2006.08.30	730		Arany Antónia	4	
2006.08.30	730		Kiss Péter	2	
2006.08.30	730		Kis Péter	1	
2006.08.30	730		Arany Antónia	1	
2006.08.30	730		Kis Péter	4	
2006.08.30	730		Kiss Péter	1	
2006.08.31	730		Kosztka Ádám	2	
2006.08.31	730		Kosztka Ádám	1	
2006.09.01	730		Kis Péter	3	
2006.09.03	736		Arany Antal	1	
2006.09.05	736		Kis Péter	1	
2006.09.07	736		Arany Antónia	3	
2006.09.09	733		Arany Antal	1	
2006.09.10	741		Arany Antal	2	
2006.09.11	741		Arany Antal	2	
2006.09.12	741		Arany Antónia	1	
2006.09.13	741		Arany Antónia	4	
2006.09.15	747		Koszta Ádám	4	
2006.09.15	747		Kiss Péter	4	
2006.09.15	747		Kosztka Ádám	1	
2006.09.16	747		Arany Antal	2	
2006.09.18	747		Arany Antónia	1	
2006.09.20	755		Arany Antal	1	
2006.09.20	755		Kosztka Ádám	1	
2006.09.22	755		Kosztka Ádám	1	
2006.09.22	755		Kiss Péter	3	
2006.09.22	755		Arany Antal	4	
2006.09.22	755		Kis Péter	4	
2006.09.22	755		Kosztka Ádám	2	
2006.09.23	755		Arany Antónia	4	
2006.09.23	755		Kiss Péter	2	
2006.09.23	755		Kis Péter	3	
2006.09.25	746		Arany Antal	4	
2006.09.26	755		Kiss Péter	3	
2006.09.28	755		Arany Antónia	4	
2006.09.28	755		Kiss Péter	3	
2006.09.30	755		Kiss Péter	4	
2006.10.01	755		Kosztka Ádám	4	
2006.10.01	755		Kis Péter	1	
2006.10.03	755		Kis Péter	1	
2006.10.04	755		Kosztka Ádám	4	
2006.10.05	755		Kiss Péter	1	
2006.10.05	755		Kosztka Ádám	1	
2006.10.07	755		Kis Péter	4	
2006.10.08	755		Arany Antónia	3	
2006.10.10	755		Arany Antal	4	
2006.10.11	755		Arany Antal	2	
2006.10.11	755		Arany Antal	2	
2006.10.13	755		Arany Antónia	4	
2006.10.14	755		Kis Péter	1	
2006.10.15	755		Kis Péter	3	
2006.10.17	755		Kiss Péter	3	
2006.10.18	761		Arany Antal	3	
2006.10.18	761		Kis Péter	3	
2006.10.20	761		Kosztka Ádám	3	
2006.10.20	761		Arany Antal	3	
2006.10.20	761		Arany Antal	1	
2006.10.21	761		Kosztka Ádám	3	
2006.10.23	754		Kis Péter	2	
2006.10.25	754		Kiss Péter	3	
2006.10.27	754		Kiss Péter	1	
2006.10.29	754		Kiss Péter	1	
2006.10.31	754		Arany Antónia	3	
2006.11.01	754		Arany Antal	1	
2006.11.02	754		Arany Antal	2	
2006.11.02	754		Kiss Péter	1	
2006.11.04	754		Kis Péter	4	
2006.11.04	754		Kosztka Ádám	3	
2006.11.05	754		Kosztka Ádám	3	
2006.11.05	754		Arany Antónia	3	
2006.11.05	754		Kis Péter	3	
2006.11.05	754		Arany Antónia	2	
2006.11.07	754		Kis Péter	3	
2006.11.09	754		Arany Antónia	3	
2006.11.10	754		Kosztka Ádám	1	
2006.11.11	754		Arany Antónia	3	
2006.11.13	754		Kiss Péter	3	
2006.11.13	754		Arany Antal	4	
2006.11.13	754		Arany Antal	4	
2006.11.15	756		Arany Antal	1	
2006.11.16	756		Kosztka Ádám	3	
2006.11.18	756		Kosztka Ádám	3	
2006.11.18	756		Kosztka Ádám	4	
2006.11.20	756		Kiss Péter	1	
2006.11.21	764		Kosztka Ádám	1	
2006.11.22	764		Arany Antal	1	
2006.11.23	764		Arany Antal	1	
2006.11.25	764		Arany Antónia	2	
2006.11.25	764		Kiss Péter	2	
2006.11.26	764		Kosztka Ádám	1	
2006.11.27	764		Kosztka Ádám	2	
2006.11.27	764		Arany Antónia	2	
2006.11.29	764		Kosztka Ádám	4	
2006.11.30	764		Arany Antónia	4	
2006.12.02	764		Kis Péter	2	
2006.12.03	764		Arany Antal	2	
2006.12.03	764		Kis Péter	1	
2006.12.04	764		Arany Antal	2	
2006.12.06	764		Kosztka Ádám	3	
2006.12.08	764		Arany Antónia	4	
2006.12.10	764		Kiss Péter	3	
2006.12.10	764		Kis Péter	3	
2006.12.12	764		Arany Antónia	2	
2006.12.13	764		Arany Antónia	1	
2006.12.15	764		Kosztka Ádám	1	
2006.12.17	764		Kiss Péter	4	
2006.12.19	764		Arany Antal	3	
2006.12.19	764		Kiss Péter	4	
2006.12.19	764		Arany Antal	2	
2006.12.20	764		Arany Antónia	3	
2006.12.21	764		Arany Antónia	4	
2006.12.21	764		Arany Antal	1	
2006.12.21	755		Arany Antal	1	
2006.12.22	755		Arany Antónia	3	
2006.12.22	755		Kosztka Ádám	1	
2006.12.24	755		Kosztka Ádám	2	
2006.12.25	755		Kosztka Ádám	1	
2006.12.27	755		Arany Antal	3	
2006.12.29	755		Arany Antal	4	
2006.12.30	755		Kis Péter	3	
2006.12.30	755		Kiss Péter	3	
2006.12.31	763		Arany Antal	4	
2007.01.02	763		Kosztka Ádám	4	
2007.01.04	763		Kosztka Ádám	4	
2007.01.06	763		Kiss Péter	1	
2007.01.06	763		Kiss Péter	4	
2007.01.06	763		Kosztka Ádám	2	
2007.01.08	763		Kiss Péter	4	
2007.01.10	763		Kiss Péter	3	
2007.01.11	763		Arany Antal	2	
2007.01.12	763		Arany Antónia	4	
2007.01.14	763		Kis Péter	3	
2007.01.14	763		Kiss Péter	4	
2007.01.16	763		Arany Antal	1	
2007.01.18	763		Kiss Péter	3	
2007.01.18	763		Kosztka Ádám	4	
2007.01.19	763		Arany Antal	1	
2007.01.19	763		Arany Antal	2	
2007.01.21	763		Arany Antal	4	
2007.01.23	763		Arany Antónia	4	
2007.01.23	763		Kiss Péter	1	
2007.01.25	763		Arany Antónia	3	
2007.01.26	763		Arany Antónia	1	
2007.01.27	763		Arany Antónia	4	
2007.01.28	763		Arany Antónia	4	
2007.01.28	763		Kosztka Ádám	3	
2007.01.30	763		Arany Antónia	1	
2007.02.01	763		Kosztka Ádám	1	
2007.02.02	763		Kis Péter	1	
2007.02.02	763		Kis Péter	1	
2007.02.02	763		Arany Antal	1	
2007.02.04	761		Kiss Péter	3	
2007.02.05	761		Kis Péter	1	
2007.02.06	761		Arany Antal	3	
2007.02.06	761		Kiss Péter	4	
2007.02.07	761		Arany Antal	4	
2007.02.07	761		Kiss Péter	4	
2007.02.09	761		Kiss Péter	3	
2007.02.10	761		Arany Antal	3	
2007.02.11	761		Kosztka Ádám	3	
2007.02.13	761		Kosztka Ádám	4	
2007.02.14	761		Kosztka Ádám	1	
2007.02.14	761		Kosztka Ádám	1	
2007.02.14	754		Kis Péter	1	
2007.02.14	756		Kosztka Ádám	1	
2007.02.15	756		Kiss Péter	1	
2007.02.17	756		Kiss Péter	1	
2007.02.17	756		Kis Péter	4	
2007.02.19	756		Kosztka Ádám	4	
2007.02.19	756		Kis Péter	3	
2007.02.20	756		Arany Antal	3	
2007.02.21	756		Arany Antónia	4	
2007.02.22	756		Kiss Péter	4	
2007.02.23	756		Kiss Péter	3	
2007.02.23	750		Kosztka Ádám	1	
2007.02.24	750		Arany Antónia	1	
2007.02.24	750		Kis Péter	4	
2007.02.26	750		Kosztka Ádám	3	
2007.02.27	750		Kis Péter	1	
2007.02.27	750		Arany Antónia	2	
2007.02.27	750		Kis Péter	3	
2007.02.28	750		Kis Péter	3	
2007.02.28	750		Arany Antal	4	
2007.02.28	750		Kis Péter	4	
2007.02.28	748		Arany Antónia	2	
2007.03.01	748		Kis Péter	2	
2007.03.01	748		Arany Antónia	2	
2007.03.03	748		Kiss Péter	4	
2007.03.04	748		Kis Péter	4	
2007.03.05	748		Kosztka Ádám	1	
2007.03.07	748		Arany Antónia	4	
2007.03.09	748		Kosztka Ádám	2	
2007.03.11	748		Kiss Péter	3	
2007.03.13	748		Arany Antónia	2	
2007.03.14	741		Kis Péter	2	
2007.03.16	741		Arany Antónia	3	
2007.03.16	741		Kis Péter	3	
2007.03.16	741		Arany Antónia	4	
2007.03.17	741		Arany Antal	3	
2007.03.17	741		Kiss Péter	3	
2007.03.18	741		Arany Antal	4	
2007.03.20	741		Kiss Péter	2	
2007.03.21	741		Arany Antónia	2	
2007.03.22	741		Arany Antal	1	
2007.03.22	741		Kis Péter	2	
2007.03.24	741		Arany Antal	1	
2007.03.26	741		Kiss Péter	3	
2007.03.26	741		Kis Péter	1	
2007.03.27	741		Arany Antal	4	
2007.03.27	741		Kosztka Ádám	3	
2007.03.28	741		Kosztka Ádám	4	
2007.03.29	741		Arany Antónia	4	
2007.03.30	741		Kis Péter	1	
2007.03.31	749		Kis Péter	3	
2007.03.31	749		Kis Péter	1	
2007.04.02	749		Arany Antal	4	
2007.04.04	749		Kis Péter	3	
2007.04.04	749		Kiss Péter	1	
2007.04.05	749		Kis Péter	3	
2007.04.06	749		Kis Péter	1	
2007.04.06	749		Kiss Péter	4	
2007.04.07	749		Arany Antal	4	
2007.04.08	749		Kiss Péter	1	
2007.04.10	749		Kis Péter	2	
2007.04.10	749		Kosztka Ádám	2	
2007.04.10	749		Arany Antal	1	
2007.04.12	751		Kosztka Ádám	4	
2007.04.14	751		Arany Antal	1	
2007.04.16	751		Kis Péter	4	
2007.04.16	751		Kis Péter	3	
2007.04.16	751		Arany Antónia	4	
2007.04.17	751		Kis Péter	3	
2007.04.18	751		Kiss Péter	3	
2007.04.18	751		Kosztka Ádám	2	
2007.04.20	751		Arany Antónia	2	
2007.04.21	751		Arany Antal	4	
2007.04.23	751		Arany Antal	3	
2007.04.25	751		Kiss Péter	2	
2007.04.27	751		Kosztka Ádám	1	
2007.04.29	751		Kosztka Ádám	2	
2007.04.30	751		Kiss Péter	4	
2007.04.30	751		Kis Péter	3	
2007.04.30	751		Arany Antal	3	
2007.05.01	751		Kosztka Ádám	2	
2007.05.03	751		Kosztka Ádám	4	
2007.05.04	751		Arany Antónia	3	
2007.05.05	751		Kis Péter	3	
2007.05.05	751		Arany Antónia	2	
2007.05.05	751		Kiss Péter	3	
2007.05.06	746		Kis Péter	4	
2007.05.06	746		Kiss Péter	2	
2007.05.08	746		Kosztka Ádám	4	
2007.05.09	746		Kis Péter	2	
2007.05.11	746		Kosztka Ádám	3	
2007.05.11	746		Arany Antónia	3	
